outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,randomized_hdsemg,20,25,12.816666666666668,11.516666666666666,-1.3000000000000025
firing_rate,pps,randomized_hdsemg,20,26,12.416666666666666,11.616666666666665,-0.8000000000000007
firing_rate,pps,randomized_hdsemg,20,27,11.866666666666667,12.416666666666666,0.5499999999999989
firing_rate,pps,randomized_hdsemg,20,28,12.433333333333334,12.433333333333334,0.0
firing_rate,pps,randomized_hdsemg,20,29,12.533333333333335,11.25,-1.283333333333335
firing_rate,pps,randomized_hdsemg,20,30,12.2,11.183333333333334,-1.0166666666666657
firing_rate,pps,randomized_hdsemg,20,31,12.633333333333335,10.666666666666666,-1.9666666666666686
firing_rate,pps,randomized_hdsemg,20,32,12.249999999999998,10.616666666666665,-1.6333333333333329
firing_rate,pps,randomized_hdsemg,20,33,12.333333333333334,11.233333333333334,-1.0999999999999996
firing_rate,pps,randomized_hdsemg,20,34,11.3,10.8,-0.5
firing_rate,pps,randomized_hdsemg,20,35,12.683333333333334,12.466666666666665,-0.21666666666666856
firing_rate,pps,randomized_hdsemg,20,36,12.433333333333334,12.183333333333334,-0.25
firing_rate,pps,randomized_hdsemg,20,37,11.216666666666667,12.016666666666667,0.8000000000000007
firing_rate,pps,randomized_hdsemg,20,38,11.5,12.033333333333335,0.533333333333335
firing_rate,pps,randomized_hdsemg,20,39,12.283333333333333,10.766666666666666,-1.5166666666666675
firing_rate,pps,randomized_hdsemg,20,40,12.3,11.833333333333332,-0.46666666666666856
firing_rate,pps,randomized_hdsemg,20,41,12.433333333333334,11.166666666666668,-1.2666666666666657
firing_rate,pps,randomized_hdsemg,20,42,11.383333333333333,11.033333333333333,-0.34999999999999964
firing_rate,pps,randomized_hdsemg,20,43,12.383333333333335,12.383333333333335,0.0
